sloan_ra sloan_dec sloan dr7_ra dr7_dec dr7
162.1913800 +35.3624400 Sloan 162.19138 +35.36244 DR7
179.4240400 +38.3690769 Sloan 179.42404 +38.36908 DR7
194.5439400 +37.2337539 Sloan 194.54394 +37.23375 DR7
164.7866600 +35.2224419 Sloan 164.78666 +35.22244 DR7
167.3777200 +36.5832000 Sloan 167.37772 +36.58320 DR7
162.2103300 +36.4149111 Sloan 162.21033 +36.41491 DR7
179.0415100 +38.4280111 Sloan 179.04151 +38.42801 DR7
118.3724000 +16.5072581 Sloan 118.37240 +16.50726 DR7
224.8351300 +29.5661761 Sloan 224.83513 +29.56618 DR7
159.6133700 +34.6715561 Sloan 159.61337 +34.67156 DR7
227.6978600 +32.0795589 Sloan 227.69786 +32.07956 DR7
205.5386400 +37.5320650 Sloan 205.53864 +37.53206 DR7
204.7719700 +38.9667269 Sloan 204.77197 +38.96673 DR7
208.0840100 +38.8431311 Sloan 208.08401 +38.84313 DR7
173.5681200 +38.5587731 Sloan 173.56812 +38.55877 DR7
174.5659200 +38.5417031 Sloan 174.56592 +38.54170 DR7
180.9090200 +38.9416461 Sloan 180.90902 +38.94165 DR7
163.5825700 +38.2295669 Sloan 163.58257 +38.22957 DR7
160.4295700 +38.0529061 Sloan 160.42957 +38.05291 DR7
160.8271900 +37.1069039 Sloan 160.82719 +37.10690 DR7
248.0605200 +21.4228850 Sloan 248.06052 +21.42288 DR7
214.2420200 +38.6974811 Sloan 214.24202 +38.69748 DR7
243.0863000 +26.2112719 Sloan 243.08630 +26.21127 DR7
246.0236700 +24.2868450 Sloan 246.02367 +24.28684 DR7
151.6546500 +37.7906269 Sloan 151.65465 +37.79063 DR7
172.0667200 +41.1257489 Sloan 172.06672 +41.12575 DR7
180.3523900 +42.4524981 Sloan 180.35239 +42.45250 DR7
187.8075100 +43.0229111 Sloan 187.80751 +43.02291 DR7
175.7321600 +43.1339650 Sloan 175.73216 +43.13396 DR7
181.1371600 +41.8897300 Sloan 181.13716 +41.88973 DR7
171.5391800 +41.6553811 Sloan 171.53918 +41.65538 DR7
180.5994600 +42.7703969 Sloan 180.59946 +42.77040 DR7
131.4000500 +30.0816731 Sloan 131.40005 +30.08167 DR7
138.0574200 +33.7133169 Sloan 138.05742 +33.71332 DR7
136.0414000 +34.2221869 Sloan 136.04140 +34.22219 DR7
119.4643600 +22.8867761 Sloan 119.46436 +22.88678 DR7
244.7633400 +26.8770889 Sloan 244.76334 +26.87709 DR7
250.4191000 +22.0150650 Sloan 250.41910 +22.01506 DR7
246.7109700 +25.8911911 Sloan 246.71097 +25.89119 DR7
198.6866400 +44.0071861 Sloan 198.68664 +44.00719 DR7
194.5157200 +44.9082139 Sloan 194.51572 +44.90821 DR7
232.2939700 +34.9689631 Sloan 232.29397 +34.96896 DR7
157.1603400 +40.6729919 Sloan 157.16034 +40.67299 DR7
197.3345900 +43.6516469 Sloan 197.33459 +43.65165 DR7
221.8575100 +37.8597769 Sloan 221.85751 +37.85978 DR7
231.9881700 +33.4841989 Sloan 231.98817 +33.48420 DR7
188.9946600 +44.5559811 Sloan 188.99466 +44.55598 DR7
