INDEX,NAME,GLON,GLAT,RA,DEC,POS_ERR,SNR,PIPELINE,PIPE_DET,PCCS2,PSZ,IR_FLAG,Q_NEURAL,Y5R500,Y5R500_ERR,VALIDATION,REDSHIFT_ID,REDSHIFT,MSZ,MSZ_ERR_UP,MSZ_ERR_LOW,MCXC,REDMAPPER,ACT,SPT,WISE_FLAG,AMI_EVIDENCE,COSMO,COMMENT
842,PSZ2 G181.06+48.47,181.0666366,48.47821196,144.8500768,40.75757135,3.278998375,5.200466156,3,11,FALSE,-1,0,0.962688029,1.837717533,0.744889796,24,RMJ093930.4+404710.4,0.24039191,4.231924057,0.4815979,0.506388664,,RMJ093930.4+404710.4,,,-10,-1000,FALSE,
844,PSZ2 G181.71-68.65,181.7134115,-68.65396981,31.64899654,-14.88001896,2.428822756,6.465030193,1,111,FALSE,614,0,0.987188995,2.77196002,1.025884986,21,RXCJ0206.4-1453,0.152899995,3.967463255,0.380079508,0.393335342,J0206.4-1453,,,,-10,-1000,TRUE,
845,PSZ2 G181.88-30.77,181.881638,-30.77430477,61.08926858,9.27079767,2.393580437,9.293498993,3,111,FALSE,-1,0,0.0209722,9.885698318,1.87298739,-1,,-1,0,0,0,,,,,-3,-1000,FALSE,
846,PSZ2 G182.42-28.28,182.4277548,-28.28432812,63.35507678,10.47201719,1.411304116,15.77493858,2,111,FALSE,615,0,0.99079901,14.79975891,2.39909935,21,RXC J0413.4+1028,0.088200003,6.952416897,0.282699108,0.282206059,J0413.4+1028,,,,-10,-1000,FALSE,
847,PSZ2 G182.59+55.83,182.5987374,55.83695547,154.2574455,39.02795685,1.386052728,9.402097702,3,111,FALSE,617,0,0.985444009,3.456951857,0.764150083,21,RXC J1017.0+3902,0.206,5.834503651,0.329491615,0.349227428,J1017.0+3902,,,,-10,-100,TRUE,
848,PSZ2 G183.30+34.98,183.3067739,34.98862537,127.4334861,38.45478414,2.427964449,6.192642212,1,111,FALSE,619,0,0.990957022,4.174519062,1.705353856,20,WHL J127.437+38.46,0.391900003,6.559127808,0.589321613,0.68935585,,RMJ082944.9+382754.4,,,3,9.638253212,TRUE,
850,PSZ2 G183.90+42.99,183.9098852,42.99562074,137.696336,38.81124827,2.428355217,5.75955534,1,111,FALSE,620,0,0.998826027,1.487982154,0.530568361,25,WHL J137.713+38.83,0.56099999,6.94581604,0.725204468,0.747327805,,RMJ091051.0+385022.4,,,3,36.77151108,FALSE,
851,PSZ2 G183.92-68.82,183.9219573,-68.82880664,32.00462131,-15.62433553,5.974892139,4.864737511,3,111,TRUE,-1,0,0.789002001,2.913350105,1.284126759,-1,,-1,0,0,0,,,,,-2,-1000,FALSE,"Point sources at: 353GHz,"
853,PSZ2 G184.24+43.69,184.2432327,43.69163162,138.6019145,38.60193006,3.474666119,5.048429966,2,111,FALSE,-1,0,0.997828007,1.499392629,0.696539462,30,GMBCG J138.60554+38.58943,0.397000015,5.410919666,0.583890438,0.676054955,,,,,3,-1000,FALSE,
854,PSZ2 G184.68+28.91,184.6852826,28.91164184,120.2399423,36.09719662,4.275634766,6.750581264,2,111,FALSE,623,0,0.986741006,6.411500931,2.530474186,20,RXC J0800.9+3602,0.287999988,5.50180006,0.512881279,0.523562431,J0800.9+3602,RMJ080056.8+360323.5,,,-10,20.63921928,TRUE,
856,PSZ2 G185.16-53.63,185.1691289,-53.63440701,44.76947987,-6.971138765,2.428780317,5.488337994,1,111,TRUE,-1,0,0.97358799,1.1436764,0.301628858,24,RMJ025904.4-065921.0,0.422988802,6.354980469,0.72002697,0.781293392,,RMJ025904.4-065921.0,,,3,-1000,FALSE,"Point sources at: 353GHz,"
860,PSZ2 G185.72-32.23,185.7265312,-32.23981361,61.9820324,5.791145179,5.203785896,5.120343208,2,11,TRUE,-1,0,0.0138325,3.898495674,2.228446245,-1,,-1,0,0,0,,,,,-2,-1000,FALSE,"Point sources at: 545GHz, 857GHz,"
861,PSZ2 G186.24-11.99,186.2471419,-11.99731857,79.06877583,17.22733733,2.420010567,6.287157059,2,11,FALSE,627,0,0.993083,10.9259119,4.483869076,21,RXC J0516.3+1712,0.115000002,4.698221207,0.49042511,0.518496037,J0516.3+1712,,,,-10,-1000,FALSE,
862,PSZ2 G186.37+37.26,186.3769701,37.26977506,130.748512,36.35276996,1.315186977,18.86364365,2,111,FALSE,628,0,0.992797971,7.444806576,0.715702772,20,RXC J0842.9+3621,0.282000005,10.99841595,0.371664047,0.367147446,J0842.9+3621,RMJ084257.6+362159.3,,,-10,-100,TRUE,
